Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
0,2024-02-23_23h06.43.551,Unsyncopated_study3,s126,21.0,feminino,right,españa,castellano y gallego,Bachelor degree,no,no,A,1,what,L4,unsyncopated,s1,r2,0,Online_whatL4//c.bu.da19.1998.444.wav,ja,de,da,sil,nu,re,ci,sil2,bu,ña,sil1,['catch'],[2.5766999999880227],[2.5766999999880227],1.998,no_beat,0.5786999999880227,0.5786999999880227,"[""space""]",bu,3,testWhatL4Uns//r1.s1.1.wav,1.0,what,unsyncopated,a,s1,rule,rule,L4,z,2.5579,6.0,1.0,2.7132,4 ,3.0,castellano,0.0,gallego,0.0,ingles,3.0,catalán,19.0,4.0,5.0,yes,no,yes,piano,5,guitarra,5,1. Cuando comparto música con alguien siento una complicidad especial con aquella persona.,3.0,A medida que iban pasando los lenguajes me distraía más porque es una tarea bastante monótona. ,77.0,yes
1,2024-02-23_23h06.43.551,Unsyncopated_study3,s126,21.0,feminino,right,españa,castellano y gallego,Bachelor degree,no,no,A,1,what,L4,unsyncopated,s2,r2,1,Online_whatL4//c.bu.da16.none.none.wav,re,de,po,sil,ja,ci,ru,sil2,nu,ña,sil1,['false alarm'],[1.91359999996439],[1.91359999996439],none,none,,,"[""space""]",bu,3,testWhatL4Uns//r1.s2.0.wav,1.0,what,unsyncopated,a,s2,rule,rule,L4,m,1.3282,4.0,0.0,0.9869,4 ,3.0,castellano,0.0,gallego,0.0,ingles,3.0,catalán,19.0,4.0,5.0,yes,no,yes,piano,5,guitarra,5,2. En mi tiempo libre apenas escucho música.,5.0,A medida que iban pasando los lenguajes me distraía más porque es una tarea bastante monótona. ,77.0,yes
2,2024-02-23_23h06.43.551,Unsyncopated_study3,s126,21.0,feminino,right,españa,castellano y gallego,Bachelor degree,no,no,A,1,what,L4,unsyncopated,s2,r1,2,Online_whatL4//c.bu.da17.none.none.wav,ña,po,pe,sil,zi,ñi,re,sil1,lo,bo,sil2,['false alarm'],[2.539699999987988],[2.539699999987988],none,none,,,"[""space""]",bu,3,testWhatL4Uns//time_viol.r2.s1.0.wav,1.0,what,unsyncopated,b,s1,no_rule,time,L4,z,1.5024,5.0,0.0,3.9506,4 ,3.0,castellano,0.0,gallego,0.0,ingles,3.0,catalán,19.0,4.0,5.0,yes,no,yes,piano,5,guitarra,5,3. Algunas canciones me ponen los pelos de punta,4.0,A medida que iban pasando los lenguajes me distraía más porque es una tarea bastante monótona. ,77.0,yes
3,2024-02-23_23h06.43.551,Unsyncopated_study3,s126,21.0,feminino,right,españa,castellano y gallego,Bachelor degree,no,no,A,1,what,L4,unsyncopated,s2,r2,3,Online_whatL4//c.bu.da18.444.1332.wav,ña,pe,bu,sil2,ja,da,de,sil,nu,re,sil1,['catch'],[1.0882000000476637],[1.0882000000476637],0.444,no_beat,0.6442000000476638,0.6442000000476638,"[""space""]",bu,3,testWhatL4Uns//time_viol.r1.s2.0.wav,1.0,what,unsyncopated,a,s2,no_rule,time,L4,m,0.6344,5.0,1.0,2.1689,4 ,3.0,castellano,0.0,gallego,0.0,ingles,3.0,catalán,19.0,4.0,5.0,yes,no,yes,piano,5,guitarra,5,4. La música me hace compañía cuando estoy solo,4.0,A medida que iban pasando los lenguajes me distraía más porque es una tarea bastante monótona. ,77.0,yes
4,2024-02-23_23h06.43.551,Unsyncopated_study3,s126,21.0,feminino,right,españa,castellano y gallego,Bachelor degree,no,no,A,1,what,L4,unsyncopated,s1,r2,4,Online_whatL4//c.bu.da5.none.none.wav,ja,ci,ña,sil2,nu,bo,de,sil,ñi,re,sil1,['false alarm'],[1.8455999999644064],[1.8455999999644064],none,none,,,"[""space""]",bu,3,testWhatL4Uns//cat_viol.r1.s1.0.wav,1.0,what,unsyncopated,a,s1,no_rule,cat,L4,m,1.178,7.0,1.0,1.3982,4 ,3.0,castellano,0.0,gallego,0.0,ingles,3.0,catalán,19.0,4.0,5.0,yes,no,yes,piano,5,guitarra,5,5. No me apetece bailar ni con la música que más me gusta,5.0,A medida que iban pasando los lenguajes me distraía más porque es una tarea bastante monótona. ,77.0,yes
5,2024-02-23_23h06.43.551,Unsyncopated_study3,s126,21.0,feminino,right,españa,castellano y gallego,Bachelor degree,no,no,A,1,what,L4,unsyncopated,s1,r1,5,Online_whatL4//c.bu.da7.222.1332.wav,zi,bu,re,sil,lo,po,da,sil2,bo,ci,sil1,['miss'],,,0.222,no_beat,,,,bu,3,testWhatL4Uns//time_viol.r1.s1.0.wav,1.0,what,unsyncopated,a,s1,no_rule,time,L4,m,3.1178,2.0,1.0,0.5849,4 ,3.0,castellano,0.0,gallego,0.0,ingles,3.0,catalán,19.0,4.0,5.0,yes,no,yes,piano,5,guitarra,5,6. La música me hace conectar con la gente,4.0,A medida que iban pasando los lenguajes me distraía más porque es una tarea bastante monótona. ,77.0,yes
6,2024-02-23_23h06.43.551,Unsyncopated_study3,s126,21.0,feminino,right,españa,castellano y gallego,Bachelor degree,no,no,A,1,what,L4,unsyncopated,s1,r1,6,Online_whatL4//c.bu.da4.none.none.wav,zi,ru,de,sil2,lo,ci,po,sil,pe,bo,sil1,['-'],,,none,none,,,,bu,3,testWhatL4Uns//r2.s2.0.wav,1.0,what,unsyncopated,b,s2,rule,rule,L4,z,0.6506,6.0,1.0,1.3037,4 ,3.0,castellano,0.0,gallego,0.0,ingles,3.0,catalán,19.0,4.0,5.0,yes,no,yes,piano,5,guitarra,5,7. Me informo sobre la música que me gusta.,4.0,A medida que iban pasando los lenguajes me distraía más porque es una tarea bastante monótona. ,77.0,yes
7,2024-02-23_23h06.43.551,Unsyncopated_study3,s126,21.0,feminino,right,españa,castellano y gallego,Bachelor degree,no,no,A,1,what,L4,unsyncopated,s1,r1,7,Online_whatL4//c.bu.da6.1110.1332.wav,zi,ña,ci,sil,lo,bu,da,sil1,pe,ñi,sil2,['catch'],[1.7360000000001037],[1.7360000000001037],1.11,no_beat,0.6260000000001036,0.6260000000001036,"[""space""]",bu,3,testWhatL4Uns//r1.s2.1.wav,1.0,what,unsyncopated,a,s2,rule,rule,L4,z,3.8462,4.0,1.0,0.9333,4 ,3.0,castellano,0.0,gallego,0.0,ingles,3.0,catalán,19.0,4.0,5.0,yes,no,yes,piano,5,guitarra,5,8.Me emociono escuchando ciertas canciones.,4.0,A medida que iban pasando los lenguajes me distraía más porque es una tarea bastante monótona. ,77.0,yes
8,2024-02-23_23h06.43.551,Unsyncopated_study3,s126,21.0,feminino,right,españa,castellano y gallego,Bachelor degree,no,no,A,1,what,L4,unsyncopated,s2,r2,8,Online_whatL4//b.ja.nu24.888.1998.wav,ñi,ru,bo,sil,ja,po,de,sil2,nu,da,sil1,['catch'],[1.4545000000000528],[1.4545000000000528],0.888,beat,0.5665000000000527,0.5665000000000527,"[""space""]",ja,1,testWhatL4Uns//r1.s1.0.wav,1.0,what,unsyncopated,a,s1,rule,rule,L4,z,3.9695,5.0,1.0,1.0341,4 ,3.0,castellano,0.0,gallego,0.0,ingles,3.0,catalán,19.0,4.0,5.0,yes,no,yes,piano,5,guitarra,5,9.La música me tranquiliza y me relaja.,4.0,A medida que iban pasando los lenguajes me distraía más porque es una tarea bastante monótona. ,77.0,yes
9,2024-02-23_23h06.43.551,Unsyncopated_study3,s126,21.0,feminino,right,españa,castellano y gallego,Bachelor degree,no,no,A,1,what,L4,unsyncopated,s2,r2,9,Online_whatL4//b.ja.nu25.888.1998.wav,bu,ru,de,sil,ja,ñi,bo,sil2,nu,pe,sil1,['catch'],[1.390699999988101],[1.390699999988101],0.888,beat,0.5026999999881009,0.5026999999881009,"[""space""]",ja,1,testWhatL4Uns//dep_viol.r2.s2.0.wav,1.0,what,unsyncopated,b,s2,no_rule,dep,L4,z,0.6823,6.0,0.0,0.7538,4 ,3.0,castellano,0.0,gallego,0.0,ingles,3.0,catalán,19.0,4.0,5.0,yes,no,yes,piano,5,guitarra,5,10.La música me hace bailar,3.0,A medida que iban pasando los lenguajes me distraía más porque es una tarea bastante monótona. ,77.0,yes
10,2024-02-23_23h06.43.551,Unsyncopated_study3,s126,21.0,feminino,right,españa,castellano y gallego,Bachelor degree,no,no,A,1,what,L4,unsyncopated,s2,r2,10,Online_whatL4//b.ja.nu26.888.1776.wav,da,ña,re,sil,ja,ci,bo,sil1,nu,bu,sil2,['catch'],[1.3371000000238382],[1.3371000000238382],0.888,beat,0.4491000000238382,0.4491000000238382,"[""space""]",ja,1,testWhatL4Uns//cat_viol.r2.s1.0.wav,1.0,what,unsyncopated,b,s1,no_rule,cat,L4,z,1.6323,5.0,0.0,0.8365,4 ,3.0,castellano,0.0,gallego,0.0,ingles,3.0,catalán,19.0,4.0,5.0,yes,no,yes,piano,5,guitarra,5,11.Busco novedades musicales continuamente,4.0,A medida que iban pasando los lenguajes me distraía más porque es una tarea bastante monótona. ,77.0,yes
11,2024-02-23_23h06.43.551,Unsyncopated_study3,s126,21.0,feminino,right,españa,castellano y gallego,Bachelor degree,no,no,A,1,what,L4,unsyncopated,s1,r2,11,Online_whatL4//b.ja.nu27.0.888.wav,ja,de,re,sil,nu,ci,pe,sil1,po,ñi,sil2,['catch'],[0.821199999988039],[0.821199999988039],0.0,beat,0.821199999988039,0.821199999988039,"[""space""]",ja,1,testWhatL4Uns//r2.s2.1.wav,1.0,what,unsyncopated,b,s2,rule,rule,L4,m,0.8335,6.0,0.0,2.2293,4 ,3.0,castellano,0.0,gallego,0.0,ingles,3.0,catalán,19.0,4.0,5.0,yes,no,yes,piano,5,guitarra,5,12. Puedo llorar cuando escucho algunas melodías que me gustan mucho.,4.0,A medida que iban pasando los lenguajes me distraía más porque es una tarea bastante monótona. ,77.0,yes
12,2024-02-23_23h06.43.551,Unsyncopated_study3,s126,21.0,feminino,right,españa,castellano y gallego,Bachelor degree,no,no,A,1,what,L4,unsyncopated,s2,r2,12,Online_whatL4//a.zi.lo20.none.none.wav,re,ña,ci,sil,ja,ñi,pe,sil1,nu,bo,sil2,['-'],,,none,none,,,,lo,2,testWhatL4Uns//r2.s1.0.wav,1.0,what,unsyncopated,b,s1,rule,rule,L4,m,1.8846,7.0,0.0,1.0843,4 ,3.0,castellano,0.0,gallego,0.0,ingles,3.0,catalán,19.0,4.0,5.0,yes,no,yes,piano,5,guitarra,5,13. Me gusta cantar o tocar un instrumento con más gente,4.0,A medida que iban pasando los lenguajes me distraía más porque es una tarea bastante monótona. ,77.0,yes
13,2024-02-23_23h06.43.551,Unsyncopated_study3,s126,21.0,feminino,right,españa,castellano y gallego,Bachelor degree,no,no,A,1,what,L4,unsyncopated,s2,r2,13,Online_whatL4//a.zi.lo23.none.none.wav,pe,ci,po,sil,ja,bu,de,sil2,nu,ñi,sil1,['-'],,,none,none,,,,lo,2,testWhatL4Uns//r2.s1.2.wav,1.0,what,unsyncopated,b,s1,rule,rule,L4,z,0.8689,5.0,1.0,1.0516,4 ,3.0,castellano,0.0,gallego,0.0,ingles,3.0,catalán,19.0,4.0,5.0,yes,no,yes,piano,5,guitarra,5,14. La música me ayuda a desconectar.,4.0,A medida que iban pasando los lenguajes me distraía más porque es una tarea bastante monótona. ,77.0,yes
